timestamp,ais_distance,ais_bearing,ais_width,ais_length,ai_bearing,imageIndex,y_max_rel,height,height_rel,width,width_rel,vessel_course,mode,match
2020-06-30T08:50:00+00:00,2213.6,229.3,16.0,130.0,233.83,2,52.6,9.0,4.5,16.0,0.8,244.4,open_sea,1
2020-06-30T06:24:00+00:00,9747.5,203.2,32.0,200.0,213.48,1,48.1,4.0,2.0,17.0,0.9,243.9,open_sea,1
2020-06-30T06:14:00+00:00,5102.0,192.2,13.0,100.0,202.49,1,48.6,5.0,2.5,14.0,0.8,238.9,open_sea,1
2020-06-30T06:00:00+00:00,7407.5,188.6,22.0,166.0,200.3,1,49.1,6.0,3.0,14.0,0.8,239.2,open_sea,1
2020-06-30T06:00:00+00:00,6620.1,193.1,11.0,87.0,204.37,1,49.1,6.0,3.0,7.0,0.4,239.2,open_sea,1
2020-06-30T05:59:00+00:00,7683.8,191.1,22.0,166.0,205.36,1,47.6,6.0,3.0,11.0,0.6,239.4,open_sea,1
2020-06-30T05:58:00+00:00,8338.6,195.9,22.0,166.0,206.67,1,48.6,6.0,3.0,11.0,0.6,238.7,open_sea,1
2020-06-30T05:57:00+00:00,8995.8,199.7,22.0,166.0,210.58,1,49.1,8.0,4.0,9.0,0.5,239.5,open_sea,1
2020-06-30T05:57:00+00:00,5306.2,186.6,15.0,115.0,197.66,1,49.1,6.0,3.0,19.0,1.0,239.5,open_sea,1
2020-06-30T05:56:00+00:00,9376.3,201.7,22.0,166.0,210.9,2,48.6,7.0,3.5,10.0,0.6,239.1,open_sea,1
2020-06-30T05:56:00+00:00,5633.3,190.5,15.0,115.0,201.56,1,48.1,5.0,2.5,16.0,0.9,239.1,open_sea,1
2020-06-30T05:55:00+00:00,6306.4,196.8,15.0,115.0,206.55,1,49.1,6.0,3.0,10.0,0.6,237.8,open_sea,1
2020-06-30T05:54:00+00:00,6990.4,201.4,15.0,115.0,210.56,2,48.6,5.0,2.5,8.0,0.4,238.0,open_sea,1
2020-06-30T05:49:00+00:00,7529.0,185.5,25.0,148.0,197.2,1,49.6,6.0,3.0,14.0,0.8,237.9,open_sea,1
2020-06-30T05:47:00+00:00,8708.1,194.9,25.0,148.0,206.5,1,48.6,5.0,2.5,12.0,0.7,238.4,open_sea,1
2020-06-30T05:26:00+00:00,16312.2,186.9,20.0,125.0,199.24,1,48.6,3.0,1.5,10.0,0.5,238.0,open_sea,1
2020-06-30T05:05:00+00:00,13474.4,196.6,21.0,171.0,207.83,1,49.6,5.0,2.5,8.0,0.5,239.4,open_sea,1
2020-06-30T05:04:00+00:00,13511.2,195.8,21.0,171.0,206.61,1,49.1,3.0,1.5,9.0,0.5,238.9,open_sea,1
2020-06-30T05:02:00+00:00,7068.9,185.8,32.0,237.0,196.78,1,50.1,6.0,3.0,29.0,1.6,239.2,open_sea,1
2020-06-30T05:01:00+00:00,7394.2,189.0,32.0,237.0,203.54,1,48.6,4.0,2.0,22.0,1.3,239.4,open_sea,1
2020-06-30T05:01:00+00:00,13586.3,194.1,21.0,171.0,205.52,1,48.6,4.0,2.0,12.0,0.7,239.4,open_sea,1
2020-06-30T05:00:00+00:00,8171.9,195.3,32.0,237.0,205.68,1,49.1,4.0,2.0,18.0,1.0,238.7,open_sea,1
2020-06-30T04:58:00+00:00,9454.1,202.5,32.0,237.0,213.87,2,49.6,5.0,2.5,14.0,0.8,239.1,open_sea,1
2020-06-30T04:57:00+00:00,13764.7,191.3,21.0,171.0,202.71,1,49.1,4.0,2.0,11.0,0.6,238.7,open_sea,1
2020-06-30T04:57:00+00:00,10430.4,206.5,32.0,237.0,214.69,2,49.6,4.0,2.0,13.0,0.7,238.7,open_sea,1
2020-06-30T04:56:00+00:00,13803.8,190.4,21.0,171.0,202.33,1,49.1,3.0,1.5,8.0,0.5,239.3,open_sea,1
2020-06-30T04:56:00+00:00,11380.2,209.6,32.0,237.0,217.89,2,49.1,4.0,2.0,10.0,0.5,239.3,open_sea,1
2020-06-30T04:55:00+00:00,11876.2,211.0,32.0,237.0,219.1,2,49.1,4.0,2.0,8.0,0.5,239.2,open_sea,1
2020-06-30T04:55:00+00:00,13836.2,190.0,21.0,171.0,202.28,1,48.1,3.0,1.5,10.0,0.6,239.2,open_sea,1
2020-06-30T04:54:00+00:00,13903.6,189.2,21.0,171.0,200.95,1,48.6,3.0,1.5,12.0,0.6,238.7,open_sea,1
2020-06-30T04:54:00+00:00,12857.7,213.3,32.0,237.0,220.41,2,49.6,4.0,2.0,9.0,0.5,238.7,open_sea,1
2020-06-30T04:53:00+00:00,13389.3,214.4,32.0,237.0,222.67,2,49.6,5.0,2.5,7.0,0.4,239.0,open_sea,1
2020-06-30T04:53:00+00:00,13938.7,188.9,21.0,171.0,200.85,1,48.6,4.0,2.0,14.0,0.8,239.0,open_sea,1
2020-06-25T01:18:00+00:00,5713.1,69.5,28.0,185.0,71.92,3,52.6,10.0,5.0,10.0,0.6,74.0,open_sea,1
2020-06-25T01:17:00+00:00,21675.8,59.4,26.0,205.0,64.38,2,50.1,5.0,2.5,4.0,0.2,74.2,open_sea,1
2020-06-25T01:17:00+00:00,5758.4,69.4,28.0,185.0,71.37,3,51.1,7.0,3.5,5.0,0.2,74.2,open_sea,1
2020-06-25T01:16:00+00:00,18671.1,78.9,28.0,190.0,80.61,3,51.6,5.0,2.5,6.0,0.4,74.1,open_sea,1
2020-06-25T01:16:00+00:00,8883.6,81.9,13.0,83.0,83.42,3,51.6,5.0,2.5,5.0,0.3,74.1,open_sea,1
2020-06-25T01:16:00+00:00,14490.0,85.0,27.0,184.0,86.33,3,50.6,4.0,2.0,7.0,0.4,74.1,open_sea,1
2020-06-25T01:10:00+00:00,6321.9,68.2,28.0,185.0,70.38,3,52.1,10.0,5.0,8.0,0.4,74.3,open_sea,1
2020-06-25T00:30:00+00:00,8967.8,27.7,44.0,249.0,38.27,1,49.6,6.0,3.0,21.0,1.2,74.8,open_sea,1
2020-06-25T00:30:00+00:00,4182.0,57.4,17.0,140.0,62.18,2,52.1,9.0,4.5,11.0,0.6,74.8,open_sea,1
